18;Household Consumer Expenditure, NSS 51th Round : July 1994 - June 1995, NSS 51st Round;Ministry of Statistics and Programme Implementation;StatisticsOthers;The National Sample Survey Organization (NSSO) conducts sample surveys to collect data on household consumer expenditure. In the absence of data on household income, the consumption expenditure data provide data on indicators of the level of living. Some of these surveys are based on a thin sample and the quinquennial surveys are based on a large sample. This survey is an annual survey based on a thin sample. Household consumer expenditure is measured as the expenditure incurred by a household on domestic account during a specified period. It includes the imputed values of goods and services, which are not purchased but procured otherwise for consumption. In other words, it is the sum total of monetary values of all the items (i.e. goods and services) consumed by the household on domestic account during the reference period. Any expenditure incurred towards the productive enterprises of the households is also excluded from household consumer expenditure. To minimize recall errors, a very detailed item classification is adopted to collect information, including items of food, items of fuel, items of clothing, bedding and footwear, items of educational and medical expenses, items of durable goods and other items. The schedule has also collected some other household particulars including age, sex and educational level etc. of each household member. The schedule design for the survey is more or less similar to that adopted in the previous surveys.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
19;Household Consumer Expenditure, NSS 53th Round : Jan - Dec 1997;Ministry of Statistics and Programme Implementation;Others;The National Sample Survey Organisation (NSSO) has been carrying out All-India surveys on household consumer expenditure. Some of these surveys are based on a thin sample of households, while the quinquennial surveys cover a large sample of households. Household consumer expenditure is measured as the expenditure incurred by a household on domestic account during a specified period. It includes the imputed values of goods and services, which are not purchased but procured otherwise for consumption. In other words, it is the sum total of monetary values of all the items (i.e. goods and services) consumed by the household on domestic account during the reference period. To minimise recall errors, a very detailed item classification is adopted to collect information, including items of food, items of fuel, items of clothing, bedding and footwear, items of educational and medical expenses, items of durable goods and other items. The schedule has also collected some other household particulars including age, sex and educational level etc. of each household member.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
20;Household Consumer Expenditure, NSS 57th Round : July 2001 - June 2002;Ministry of Statistics and Programme Implementation;Others;National Sample Survey Organization (NSSO) conducts surveys on household consumer expenditures on a thin sample of households and a quinquennial survey on a large sample of households. Household consumer expenditure is the sum total of monetary values of all the items (i.e. goods and services) consumed by the household on domestic account during the reference period. In this link one can get all the information relating to the survey. This survey is based on a thin sample of households. All information relating to the survey can be accessed from this link.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
21;Household Consumer Expenditure NSS 59th Round : Jan 2003 - Dec 2003;Ministry of Statistics and Programme Implementation;Others;National Sample Survey Organization (NSSO) conducts surveys on household consumer expenditures on a thin sample of households and a quinquennial survey on a large sample of households. Household consumer expenditure is the sum total of monetary values of all the items (i.e. goods and services) consumed by the household on domestic account during the reference period. In this link one can get all the information relating to the survey. This survey is based on a thin sample of households. All information relating to the survey can be accessed from this link.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
22;Household Consumer Expenditure, NSS 62nd Round : July 2005 - June 2006;Ministry of Statistics and Programme Implementation;Others;National Sample Survey Organization (NSSO) conducts surveys on household consumer expenditures on a thin sample of households and a quinquennial survey on a large sample of households. Household consumer expenditure is the sum total of monetary values of all the items (i.e. goods and services) consumed by the household on domestic account during the reference period. In this link one can get all the information relating to the survey. This survey is based on a thin sample of households. All information relating to the survey can be accessed from this link.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
23;Household Consumer Expenditure, NSS 63rd Round : July 2006 - June 2007;Ministry of Statistics and Programme Implementation;Others;National Sample Survey Organization (NSSO) conducts surveys on household consumer expenditures on a thin sample of households and a quinquennial survey on a large sample of households. Household consumer expenditure is the sum total of monetary values of all the items (i.e. goods and services) consumed by the household on domestic account during the reference period. In this link one can get all the information relating to the survey. This survey is based on a thin sample of households. All information relating to the survey can be accessed from this link.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
24;Housing Condition Survey: NSS 58th Round : July - December 2002;Ministry of Statistics and Programme Implementation;Housing;The National Sample Survey Organisation (NSSO) conducted an integrated survey covering various aspects of housing conditions during July to December 2002. The link provides all inforamtion relating to the survey.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
25;Informal Non-Agricultural Enterprises Survey: NSS 55th Round : July 1999 - June 2000;Ministry of Statistics and Programme Implementation;Others;This is the fisrt survey exclusively covering enterrpsies in the informal sector conducted by the NSSO. It covers all informal enterprises in the non-agricultural sector of the economy, excluding those engaged in mining & quarrying and electricity, gas & water supply. NIC codes to identify the enterprises in this round will be as per NIC 1998. The enterprises in the informal sector have been divided into six broad industry groups, viz. (i) manufacturing, (ii) construction, (iii) trade and repair services, (iv) hotels and restaurants (v) transport, storage and communications and (vi) other service sector enterprises.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
26;Survey on Unincorporated Non-agricultural Enterprises (Excluding Construction) : NSS 67th Round : July 2010 - June 2011;Ministry of Statistics and Programme Implementation;Economy;This survey of unincorporated non-agricultural enterprises was conducted by NSSO as part of the coverage of unorganised sector, during the 67th round (July 2010 to June 20ll). The survey covered economic and operational characteristics of unincorporated non-agricultural enterprises in manufacturing, trade and other service sector (excluding construction).;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
27;Unorganised Manufacturing Enterprises Survey [AREA Frame] : NSS 62nd Round : July 2005 - June 2006;Ministry of Statistics and Programme Implementation;ManufacturingIndustries;National Sample Survey Organisation (NSSO) carried out an all-India survey on unorganised manufacturing enterprise as a part of the 62nd round of during July 2005 – June 2006. It covered unorganised manufacturing enterprises under the two-digit codes 15 to 37 (Section 'D') of NIC-2004 and enterprises under cotton ginning, cleaning and baling (NIC-2004, code 01405).;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
28;Unorganised Manufacturing Enterprises Survey [List Frame] : NSS 62nd Round : July 2005 - June 2006;Ministry of Statistics and Programme Implementation;ManufacturingIndustries;This survey on unorganised manufacturing enterprises was carried out by the National Sample Survey Organisation (NSSO) as a part of the 62nd round of National Sample Survey (NSS) during July 2005 – June 2006. The 62nd round was earmarked for survey on (i) unorganised manufacturing enterprises under the two-digit codes 15 to 37 (Section 'D') of NIC-2004 and enterprises under cotton ginning, cleaning and baling (NIC-2004, code 01405). The previous surveys on thsi subject was during the 56th round and 51st round.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
29;Unorganised Service Sector: NSS 57th Round : July 2001-June 2002;Ministry of Statistics and Programme Implementation;Industries;This survey covering enterrpsies in the unorganzied sector was conduted during the 57th round ( July 2001- June 2002).The main aim of the survey was to estimate size in terms of the total number enterprises, employment, fixed assets, operating expenses, receipts, value added, etc. Information on other attributes like type of ownership, type of operation, number of months of operation, whether carrying out mixed/multiple activity, whether accounts maintained, etc. was also collected.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
30;Time Series Data on Macro Economic Aggregates (at Current Prices) and Population Estimates;Ministry of Statistics and Programme Implementation;Macro EconomyEconomy;Time Series data from 1950-51 on wards on all important macro economic variables such as Gross Domestic product, Capital Formation, Net income, Savings etc are presented in this table. The data are taken from the Central Statistical Office.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
31;Time Series Macro Economic Aggregates at Constant (2004-05) Prices and Population;Ministry of Statistics and Programme Implementation;Macro EconomyEconomy;Time Series data from 1950-51 on wards on all important macro economic variables such as Gross Domestic Product by Industry, Capital Formation, Net income, Savings etc are presented in this table at constant prices (2004-05). The data are taken from the Central Statistical Office. To understand the concepts and definitions and the methodology for compiling theses indicators, users are advised to see the documents available in www.mospi.gov.in.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
32;Annual Estimates of GDP at Constant (2004-05) Prices;Ministry of Statistics and Programme Implementation;Macro EconomyEconomy;Macro economic data on key parameters from 2004-05 onwards using the new base year are provided in this. Besides data on Gross Domestic product, Capital Formation, Net income, Savings etc growth rates and sectoral breakups are also provided. For details regarding concepts, definitions, methodology for compilation etc users are requested to access the material provided in the website www.mospi.gov.in;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
33;Quarterly Estimates of GDP at Constant (2004-05) Prices;Ministry of Statistics and Programme Implementation;Macro EconomyEconomy;The Central Statistical Organisation (CSO) introduced the quarterly estimates of Gross Domestic Product (GDP), on 30.6.1999, with effect from, the estimates for the fourth quarter-Q4 (January-March) of 1999, both at constant (1993-94) and current prices. The Quarterly Gross Domestic Product (QGDP) estimates are released by the CSO on the last working day after two months, except the first quarter GDP estimates which are released on the last working day after three months. For compiling the QGDP Estimates at constant prices, the estimates at constant prices of the previous year are extrapolated with the growth rates observed in the physical/proxy key indicators. For compiling the estimates at current prices, firstly the implicit price deflators are estimated using the data on prices available from the wholesale and consumer price indexes of the respective industry groups. These industry-wise implicit price deflators are then superimposed on the QGDP Estimates compiled at constant prices, to obtain the industry-wise estimates at current prices.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
34;State Level Consumer Price Index (Rural/Urban);Ministry of Statistics and Programme Implementation;PricesEconomy;This is the New Series of Consumer Price Index for Rural & Urban with base year 2010. Published by Central Statistical Office and released on 12th of every month;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
35;All India Consumer Price Index (Rural/Urban);Ministry of Statistics and Programme Implementation;PricesEconomy;This is the New Series of Consumer Price Index for Rural & Urban with base year 2010. Published by Central Statistical Office and released on 12th of every month. The data contains group wise all India Index.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
36;State Level Consumer Price Index (Rural/Urban) Upto January 2013;Ministry of Statistics and Programme Implementation;PricesEconomy;This is the New Series of Consumer Price Index for Rural & Urban with base year 2010. Published by Central Statistical Office and released on 12th of every month.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
37;All India Consumer Price Index (Rural/Urban) Upto January 2013;Ministry of Statistics and Programme Implementation;PricesEconomy;This is the New Series of Consumer Price Index for Rural & Urban with base year 2010. Published by Central Statistical Office and released on 12th of every month. The data contains group wise all India Index.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
38;Time Series Indices of Industrial Production (2004-05 Series);Ministry of Statistics and Programme Implementation;ManufacturingIndustries;Index of Industrial Production (Base: 2004-05=100) at two digit industry level indices (NIC-2004) with weights from April 2005 to January 2013, annual average (Apr-Mar) indices and growth over corresponding period of previous year.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
39;Monthly Time Series Use-based Indices And Growth (2004-05 Series);Ministry of Statistics and Programme Implementation;ManufacturingIndustries;Index of Industrial Production (Base: 2004-05=100) at use-based industry level indices and growth with weights from April 2005 to January 2013, annual average (Apr-Mar) indices and growth over corresponding period of previous year.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
40;Time Series Indices of Industrial Production (1993-94 Series);Ministry of Statistics and Programme Implementation;ManufacturingIndustries;Index of Industrial Production (Base: 1993-94=100) at two digit industry level indices (NIC-1987) with weights from April 1994 to June 2011, annual average (Apr-Mar) indices and growth over corresponding period of previous year.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
41;Time Series Indices of Industrial Production (1980-81 Series);Ministry of Statistics and Programme Implementation;ManufacturingIndustries;Index of Industrial Production (Base: 1980-81=100) at two digit industry level indices (NIC-1970) with weights from April 1981 to March 1998, annual average (Apr-Mar) indices and growth over corresponding period of previous year.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
42;Monthly Time Series Use-based Indices And Growth (1980-81 Series);Ministry of Statistics and Programme Implementation;ManufacturingIndustries;Index of Industrial Production (Base: 1980-81=100) at use-based industry level indices (NIC-1970) with weights from April 1990 to March 1998, annual average (Apr-Mar) indices and growth over corresponding period of previous year.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
43;Monthly Time Series Use-based Indices And Growth (1993-94 Series);Ministry of Statistics and Programme Implementation;ManufacturingIndustries;Index of Industrial Production (Base: 1993-94=100) at use-based industry level indices (NIC-1987) with weights from April 1994 to June 2011, annual average (Apr-Mar) indices and growth over corresponding period of previous year.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
44;Number of Allopathic Medical And Dental Colleges And Admission;Ministry of Statistics and Programme Implementation;HealthHealth & Family welfare;The table gives the number of allopathic medical and dental colleges and admission for the year 2000 on wards. Students admitted in medical colleges refers to students admitted in 1st year of MBBS. The data for some years are not provided. The source of data is the Ministry of Health and Family Welfare and published in the statistical year book 2013.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
45;Number of Registered Allopathic Doctors And Dental Surgeons;Ministry of Statistics and Programme Implementation;HealthHealth & Family welfare;The table gives the number allopathic doctors and dental surgeons registered with state medical councils for 2010 and 2011 (only for 2010 for allopathic doctors).;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
46;Number of Registered General Nursing Midwives/ Auxiliary Nurse-Midwives And Health Visitors;Ministry of Statistics and Programme Implementation;HealthHealth & Family welfare;The table gives the number of registered general nursing midwives, auxiliary nurse-midwives and health visitors from 2000 on wards for All India and for 2009 and 2010 for States.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
47;Adminstrative Structure And Rural Health Infrastructure;Ministry of Statistics and Programme Implementation;HealthHealth & Family welfare;This table gives state-wise number of administrative units and rural health infrastructure (DHs, CHCs, PHCs and Sub-Centres).;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
48;Dispensaries And Beneficiaries Under Central Government Health Scheme (CGHS);Ministry of Statistics and Programme Implementation;HealthHealth & Family welfare;This table gives different types and number of dispensaries and beneficiaries under Central Government Health Scheme (CGHS) for 2001 to 2011 for All India and 2010 and 2011 for States;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
49;Post Graduate Institutes And Admission Capacity under Ayush Systems As On 1st April;Ministry of Statistics and Programme Implementation;HealthHealth & Family welfare;This table gives All India and State-wise number of Post Graduate Institutes and Admission Capacity under Ayush Systems .;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
50;Registered Practitioners Under Ayush Systems As on 1st January;Ministry of Statistics and Programme Implementation;HealthHealth & Family welfare;This table gives All India and State-wise number of Registered Ayurveda, Unani, Siddha, Naturopathy, Homoeopathy Practitioners;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
51;Statistics on Mental Hospitals;Ministry of Statistics and Programme Implementation;HealthHealth & Family welfare;This table gives All India and State-wise statistics of mental hospitals like number of hospitals, beds and patients.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
52;Dispensaries Under Ayush Systems As On 1st April;Ministry of Statistics and Programme Implementation;HealthHealth & Family welfare;This table gives All India (from 2001 to 2011) and State-wise (2010-11) number of dispensaries - Ayurveda, Unani, Siddha, Naturopathy, Homoeopathy, Yoga, Sowa-Rigpa under AYUSH Systems as on 1st April.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
53;Number of Allopathic Hospitals / Dispensaries And Beds;Ministry of Statistics and Programme Implementation;HealthHealth & Family welfare;This table gives State-wise number of Allopathic Government Hospitals, Dispensaries and Beds (in ' 000) for 2010-11.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
54;Achievements of Family Welfare Programme;Ministry of Statistics and Programme Implementation;HealthHealth & Family welfare;This table gives All India (from 2000 to 2012) and State-wise (2010-12) Achievements under Family Welfare Programme with their numbers and rates .;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
55;Achievements of Immunization Programme;Ministry of Statistics and Programme Implementation;HealthHealth & Family welfare;This table gives All India (from 2000 to 2011) and State-wise (2010-12) Achievements under various Immunization Programmes - T.T, Polio, DPT, BCG, Tetanus, Measles etc. for children and mothers.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
56;Number of Cases And Deaths Due To Diseases;Ministry of Statistics and Programme Implementation;HealthHealth & Family welfare;This table gives All India (from 2000 to 2011) and State-wise (2010 and 2011) number of cases and deaths due to specified diseases (Acute Diarrhoeal Diseases, Malaria, Acute Respiaratory Infection, Japanese Encephalitis, Viral Hepatitis).;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
57;Under Graduate Institutes And Admission Capacity Under Ayush Systems As On 1st April;Ministry of Statistics and Programme Implementation;HealthHealth & Family welfare;This table gives All India (from 2000 to 2011) and State-wise (2010 and 2011) number of Under Graduate Institutes and Admission Capacity under Ayush Systems as on 1st April.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
58;Hospitals And Bed Strength Under Ayush Systems As On 1st April;Ministry of Statistics and Programme Implementation;HealthHealth & Family welfare;This table gives All India (from 2001 to 2011) and State-wise (2010-11) number of hospitals and bed strength under AYUSH Systems (Ayurveda, Unani, Siddha, Naturopathy, Homoeopathy, Yoga, Amchi) as on 1st April.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
59;Area Under Principal Crops - All India and State Wise;Ministry of Statistics and Programme Implementation;CropsAgriculture;This table gives All India (from 2000 to 2011) and State-wise (2009-10 and 2010-11) area under Principal Crops (food grains, cereals, oil seeds, tobacco, potato, black pepper, chillies, natural rubber, bananas, ginger, coconut and turmeric).;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
60;Average Yield of Principal Crops;Ministry of Statistics and Programme Implementation;CropsAgriculture;This table gives All India (from 2000 to 2010) and State-wise (2009-10 and 2010-11) average yield of Principal Crops (food grains, oil seeds, cotton, jute, banana, black pepper, coconut, turmeric etc).;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
61;Cost Estimates of some Principal Crops in Five Major Producing States During 2008-09;Ministry of Statistics and Programme Implementation;CropsAgriculture;This table gives cost estimates of some principal crops in Five Major Producing States During 2008-09.;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
62;Index Number of production of Principal Crops;Ministry of Statistics and Programme Implementation;CropsAgriculture;This table gives Index Number of production of Principal Crops for the period 2006-07 to 2010-11 (Base : Crop Years Triennium ending 1993-94=100).;www.data.gov.in;09/28/2013 01:00:00;09/28/2013 01:00:00
